,date,HR_NAME,percentile
87,1998-06-30 00:00:00+00:00,Central Coast,0.9666666666666668
88,1998-07-31 00:00:00+00:00,Central Coast,1.0
89,1998-08-31 00:00:00+00:00,Central Coast,1.0
90,1998-09-30 00:00:00+00:00,Central Coast,1.0
91,1998-10-31 00:00:00+00:00,Central Coast,1.0
92,1998-11-30 00:00:00+00:00,Central Coast,1.0
93,1998-12-31 00:00:00+00:00,Central Coast,0.85
94,1999-01-31 00:00:00+00:00,Central Coast,
95,1999-02-28 00:00:00+00:00,Central Coast,
96,1999-03-31 00:00:00+00:00,Central Coast,0.4666666666666667
97,1999-04-30 00:00:00+00:00,Central Coast,0.5666666666666668
98,1999-05-31 00:00:00+00:00,Central Coast,0.5666666666666668
99,1999-06-30 00:00:00+00:00,Central Coast,0.6833333333333335
100,1999-07-31 00:00:00+00:00,Central Coast,0.75
101,1999-08-31 00:00:00+00:00,Central Coast,0.7000000000000001
102,1999-09-30 00:00:00+00:00,Central Coast,0.6333333333333334
103,1999-10-31 00:00:00+00:00,Central Coast,0.6166666666666667
104,1999-11-30 00:00:00+00:00,Central Coast,0.5833333333333334
105,1999-12-31 00:00:00+00:00,Central Coast,0.3333333333333333
106,2000-01-31 00:00:00+00:00,Central Coast,
107,2000-02-29 00:00:00+00:00,Central Coast,
108,2000-03-31 00:00:00+00:00,Central Coast,0.7000000000000001
109,2000-04-30 00:00:00+00:00,Central Coast,0.7000000000000001
110,2000-05-31 00:00:00+00:00,Central Coast,0.7000000000000001
111,2000-06-30 00:00:00+00:00,Central Coast,0.6166666666666667
112,2000-07-31 00:00:00+00:00,Central Coast,0.6
113,2000-08-31 00:00:00+00:00,Central Coast,0.6333333333333334
114,2000-09-30 00:00:00+00:00,Central Coast,0.7333333333333334
115,2000-10-31 00:00:00+00:00,Central Coast,0.7833333333333334
116,2000-11-30 00:00:00+00:00,Central Coast,0.8666666666666667
117,2000-12-31 00:00:00+00:00,Central Coast,0.5
118,2001-01-31 00:00:00+00:00,Central Coast,
119,2001-02-28 00:00:00+00:00,Central Coast,
120,2001-03-31 00:00:00+00:00,Central Coast,0.6333333333333334
121,2001-04-30 00:00:00+00:00,Central Coast,0.6666666666666667
122,2001-05-31 00:00:00+00:00,Central Coast,0.8166666666666668
123,2001-06-30 00:00:00+00:00,Central Coast,0.55
124,2001-07-31 00:00:00+00:00,Central Coast,0.5666666666666668
125,2001-08-31 00:00:00+00:00,Central Coast,0.55
