,date,HR_NAME,SWDI
120,2001-01-31,Central Coast,0.8333333333333335
121,2001-02-28,Central Coast,0.8333333333333335
122,2001-03-31,Central Coast,0.9333333333333336
123,2001-04-30,Central Coast,0.9666666666666668
124,2001-05-31,Central Coast,0.9666666666666668
125,2001-06-30,Central Coast,0.8333333333333335
126,2001-07-31,Central Coast,0.8333333333333335
127,2001-08-31,Central Coast,0.8333333333333335
128,2001-09-30,Central Coast,0.8
129,2001-10-31,Central Coast,0.8
130,2001-11-30,Central Coast,0.8
131,2001-12-31,Central Coast,0.8333333333333335
132,2002-01-31,Central Coast,0.9333333333333336
133,2002-02-28,Central Coast,0.9333333333333336
134,2002-03-31,Central Coast,0.8333333333333335
135,2002-04-30,Central Coast,0.8
136,2002-05-31,Central Coast,0.6666666666666667
137,2002-06-30,Central Coast,0.6666666666666667
138,2002-07-31,Central Coast,0.6333333333333334
139,2002-08-31,Central Coast,0.5333333333333333
140,2002-09-30,Central Coast,0.5333333333333333
141,2002-10-31,Central Coast,0.4333333333333333
142,2002-11-30,Central Coast,0.4666666666666667
143,2002-12-31,Central Coast,0.6666666666666667
144,2003-01-31,Central Coast,0.7333333333333334
145,2003-02-28,Central Coast,0.6333333333333334
146,2003-03-31,Central Coast,0.5333333333333333
147,2003-04-30,Central Coast,0.5333333333333333
148,2003-05-31,Central Coast,0.4666666666666667
149,2003-06-30,Central Coast,0.6
150,2003-07-31,Central Coast,0.6666666666666667
151,2003-08-31,Central Coast,0.6333333333333334
152,2003-09-30,Central Coast,0.6333333333333334
153,2003-10-31,Central Coast,0.6
154,2003-11-30,Central Coast,0.6
155,2003-12-31,Central Coast,0.6
156,2004-01-31,Central Coast,0.5
157,2004-02-29,Central Coast,0.4666666666666667
158,2004-03-31,Central Coast,0.3666666666666667
159,2004-04-30,Central Coast,0.3666666666666667
160,2004-05-31,Central Coast,0.3
161,2004-06-30,Central Coast,0.2666666666666666
162,2004-07-31,Central Coast,0.3
163,2004-08-31,Central Coast,0.3
164,2004-09-30,Central Coast,0.3
165,2004-10-31,Central Coast,0.3666666666666667
166,2004-11-30,Central Coast,0.3333333333333333
167,2004-12-31,Central Coast,0.3666666666666667
168,2005-01-31,Central Coast,0.4333333333333333
169,2005-02-28,Central Coast,0.8666666666666667
170,2005-03-31,Central Coast,0.9
171,2005-04-30,Central Coast,0.9
172,2005-05-31,Central Coast,0.9
173,2005-06-30,Central Coast,0.9
174,2005-07-31,Central Coast,0.9
175,2005-08-31,Central Coast,0.9
176,2005-09-30,Central Coast,0.9
177,2005-10-31,Central Coast,0.9666666666666668
178,2005-11-30,Central Coast,0.9666666666666668
179,2005-12-31,Central Coast,0.9333333333333336
180,2006-01-31,Central Coast,0.9666666666666668
181,2006-02-28,Central Coast,1.0
182,2006-03-31,Central Coast,1.0
183,2006-04-30,Central Coast,1.0
184,2006-05-31,Central Coast,1.0
185,2006-06-30,Central Coast,1.0
186,2006-07-31,Central Coast,1.0
187,2006-08-31,Central Coast,1.0
188,2006-09-30,Central Coast,1.0
189,2006-10-31,Central Coast,1.0
190,2006-11-30,Central Coast,1.0
191,2006-12-31,Central Coast,1.0
192,2007-01-31,Central Coast,1.0
193,2007-02-28,Central Coast,0.9666666666666668
194,2007-03-31,Central Coast,0.8666666666666667
195,2007-04-30,Central Coast,0.8333333333333335
196,2007-05-31,Central Coast,0.8
197,2007-06-30,Central Coast,0.7333333333333334
198,2007-07-31,Central Coast,0.7333333333333334
199,2007-08-31,Central Coast,0.7000000000000001
200,2007-09-30,Central Coast,0.7000000000000001
201,2007-10-31,Central Coast,0.7000000000000001
202,2007-11-30,Central Coast,0.7000000000000001
203,2007-12-31,Central Coast,0.6333333333333334
204,2008-01-31,Central Coast,0.4666666666666667
205,2008-02-29,Central Coast,0.7000000000000001
206,2008-03-31,Central Coast,0.7333333333333334
207,2008-04-30,Central Coast,0.6666666666666667
208,2008-05-31,Central Coast,0.6333333333333334
209,2008-06-30,Central Coast,0.5666666666666668
210,2008-07-31,Central Coast,0.6
211,2008-08-31,Central Coast,0.5666666666666668
212,2008-09-30,Central Coast,0.6666666666666667
213,2008-10-31,Central Coast,0.6666666666666667
214,2008-11-30,Central Coast,0.6666666666666667
215,2008-12-31,Central Coast,0.7000000000000001
216,2009-01-31,Central Coast,0.5666666666666668
217,2009-02-28,Central Coast,0.4333333333333333
218,2009-03-31,Central Coast,0.3333333333333333
219,2009-04-30,Central Coast,0.3333333333333333
220,2009-05-31,Central Coast,0.3333333333333333
221,2009-06-30,Central Coast,0.3
222,2009-07-31,Central Coast,0.3333333333333333
223,2009-08-31,Central Coast,0.3333333333333333
224,2009-09-30,Central Coast,0.3333333333333333
225,2009-10-31,Central Coast,0.3
226,2009-11-30,Central Coast,0.3666666666666667
227,2009-12-31,Central Coast,0.3333333333333333
228,2010-01-31,Central Coast,0.3333333333333333
229,2010-02-28,Central Coast,0.4
230,2010-03-31,Central Coast,0.5
231,2010-04-30,Central Coast,0.4333333333333333
232,2010-05-31,Central Coast,0.5333333333333333
233,2010-06-30,Central Coast,0.6333333333333334
234,2010-07-31,Central Coast,0.5666666666666668
235,2010-08-31,Central Coast,0.6
236,2010-09-30,Central Coast,0.6
237,2010-10-31,Central Coast,0.5333333333333333
238,2010-11-30,Central Coast,0.5
239,2010-12-31,Central Coast,0.5
240,2011-01-31,Central Coast,0.7000000000000001
241,2011-02-28,Central Coast,0.6666666666666667
242,2011-03-31,Central Coast,0.7666666666666667
243,2011-04-30,Central Coast,0.9333333333333336
244,2011-05-31,Central Coast,0.9333333333333336
245,2011-06-30,Central Coast,0.9666666666666668
246,2011-07-31,Central Coast,0.9666666666666668
247,2011-08-31,Central Coast,0.9666666666666668
248,2011-09-30,Central Coast,0.9666666666666668
249,2011-10-31,Central Coast,0.9
250,2011-11-30,Central Coast,0.9
251,2011-12-31,Central Coast,0.9666666666666668
252,2012-01-31,Central Coast,0.9
253,2012-02-29,Central Coast,0.9
254,2012-03-31,Central Coast,0.8
255,2012-04-30,Central Coast,0.7333333333333334
256,2012-05-31,Central Coast,0.7333333333333334
257,2012-06-30,Central Coast,0.7000000000000001
258,2012-07-31,Central Coast,0.7000000000000001
259,2012-08-31,Central Coast,0.7333333333333334
260,2012-09-30,Central Coast,0.7333333333333334
261,2012-10-31,Central Coast,0.5666666666666668
262,2012-11-30,Central Coast,0.5666666666666668
263,2012-12-31,Central Coast,0.5333333333333333
264,2013-01-31,Central Coast,0.6666666666666667
265,2013-02-28,Central Coast,0.5333333333333333
266,2013-03-31,Central Coast,0.4
267,2013-04-30,Central Coast,0.3
268,2013-05-31,Central Coast,0.2333333333333333
269,2013-06-30,Central Coast,0.2333333333333333
270,2013-07-31,Central Coast,0.2333333333333333
271,2013-08-31,Central Coast,0.2333333333333333
272,2013-09-30,Central Coast,0.2
273,2013-10-31,Central Coast,0.2
274,2013-11-30,Central Coast,0.2
275,2013-12-31,Central Coast,0.2
276,2014-01-31,Central Coast,0.2333333333333333
277,2014-02-28,Central Coast,0.1666666666666666
278,2014-03-31,Central Coast,0.1
279,2014-04-30,Central Coast,0.1
280,2014-05-31,Central Coast,0.1
281,2014-06-30,Central Coast,0.0666666666666666
282,2014-07-31,Central Coast,0.1
283,2014-08-31,Central Coast,0.1
284,2014-09-30,Central Coast,0.1333333333333333
285,2014-10-31,Central Coast,0.1
286,2014-11-30,Central Coast,0.1333333333333333
287,2014-12-31,Central Coast,0.1333333333333333
288,2015-01-31,Central Coast,0.1666666666666666
289,2015-02-28,Central Coast,0.1333333333333333
290,2015-03-31,Central Coast,0.1333333333333333
291,2015-04-30,Central Coast,0.0666666666666666
292,2015-05-31,Central Coast,0.0333333333333333
293,2015-06-30,Central Coast,0.0333333333333333
294,2015-07-31,Central Coast,0.0333333333333333
295,2015-08-31,Central Coast,0.0666666666666666
296,2015-09-30,Central Coast,0.0333333333333333
297,2015-10-31,Central Coast,0.0333333333333333
298,2015-11-30,Central Coast,0.0333333333333333
299,2015-12-31,Central Coast,0.0333333333333333
