,date,HR_NAME,pctl_gwchange,pctl_gwchange_corr,pctl_gwelev,pctl_cumgwchange,pctl_cumgwchange_corr
369,2002-09-30,San Francisco Bay,0.4173697270471464,0.2949101796407186,0.4850713012477718,0.4961538461538461,0.4214071856287425
370,2003-03-31,San Francisco Bay,0.6323529411764706,0.6901197604790419,0.5882352941176471,0.5490196078431373,0.5359281437125748
371,2003-09-30,San Francisco Bay,0.5454545454545454,0.5673652694610778,0.527046783625731,0.5625,0.562874251497006
372,2004-03-31,San Francisco Bay,0.4318181818181818,0.3375748502994012,0.5714285714285714,0.5526315789473685,0.5449101796407185
373,2004-09-30,San Francisco Bay,0.4285714285714285,0.3308383233532934,0.4736842105263157,0.492063492063492,0.4161676646706587
374,2005-03-31,San Francisco Bay,0.6737068965517241,0.7694610778443114,0.75,0.6363636363636364,0.6991017964071856
375,2005-09-30,San Francisco Bay,0.7258064516129032,0.8615269461077845,0.6818181818181818,0.75,0.8832335329341318
376,2006-03-31,San Francisco Bay,0.6904761904761905,0.7926646706586826,0.8823529411764706,0.8297872340425532,0.9640718562874252
377,2006-09-30,San Francisco Bay,0.6190476190476191,0.6758982035928144,0.7647058823529411,0.8477118119975263,0.9745508982035928
378,2007-03-31,San Francisco Bay,0.2692814765985498,0.0703592814371257,0.5454545454545454,0.7198186143324412,0.844311377245509
379,2007-09-30,San Francisco Bay,0.1666666666666666,0.0052395209580838,0.4545454545454545,0.5076923076923077,0.4595808383233533
380,2008-03-31,San Francisco Bay,0.326813214108296,0.1377245508982036,0.3636363636363636,0.4206349206349206,0.2994011976047904
381,2008-09-30,San Francisco Bay,0.3125,0.1130239520958083,0.3928571428571428,0.3823529411764705,0.2327844311377245
382,2009-03-31,San Francisco Bay,0.4,0.2642215568862275,0.3235294117647059,0.3658536585365853,0.2095808383233532
383,2009-09-30,San Francisco Bay,0.5303030303030303,0.5494011976047904,0.4202037351443124,0.3469387755102041,0.1781437125748503
384,2010-03-31,San Francisco Bay,0.7727272727272727,0.9199101796407184,0.5625,0.5106475445458496,0.468562874251497
385,2010-09-30,San Francisco Bay,0.7,0.8226047904191617,0.5872210953346856,0.5917508417508417,0.6152694610778443
386,2011-03-31,San Francisco Bay,0.6220238095238095,0.6781437125748503,0.6470588235294118,0.6500819000819,0.7305389221556886
387,2011-09-30,San Francisco Bay,0.6842105263157895,0.781437125748503,0.7597402597402597,0.71875,0.8413173652694611
388,2012-03-31,San Francisco Bay,0.4638605442176871,0.4236526946107784,0.55,0.669047619047619,0.7694610778443114
389,2012-09-30,San Francisco Bay,0.2708333333333333,0.0718562874251497,0.5789473684210527,0.546875,0.531437125748503
390,2013-03-31,San Francisco Bay,0.3125,0.1130239520958083,0.4166666666666667,0.4772727272727273,0.3937125748502994
391,2013-09-30,San Francisco Bay,0.2291666666666666,0.0314371257485029,0.3181818181818182,0.3636363636363636,0.1998502994011976
392,2014-03-31,San Francisco Bay,0.175219298245614,0.0074850299401197,0.2,0.276759410801964,0.0853293413173652
393,2014-09-30,San Francisco Bay,0.2790697674418604,0.0808383233532934,0.1785714285714285,0.1818181818181818,0.0164670658682634
394,2015-03-31,San Francisco Bay,0.5,0.4940119760479042,0.2413793103448276,0.1818181818181818,0.0164670658682634
395,2015-09-30,San Francisco Bay,0.5564516129032258,0.5913173652694611,0.3060200668896321,0.2222222222222222,0.0359281437125748
396,2016-03-31,San Francisco Bay,0.7272727272727273,0.8645209580838323,0.4117647058823529,0.3055555555555556,0.1182634730538922
397,2016-09-30,San Francisco Bay,0.7391304347826086,0.8764970059880239,0.5454545454545454,0.4310344827586206,0.3308383233532934
398,2017-03-31,San Francisco Bay,0.8529411764705882,0.9790419161676648,0.8333333333333334,0.6530612244897959,0.7372754491017964
399,2017-09-30,San Francisco Bay,0.6984848484848485,0.8173652694610778,0.8047619047619048,0.8027777777777778,0.9476047904191616
400,2018-03-31,San Francisco Bay,0.4,0.2642215568862275,0.6376050420168067,0.6666666666666666,0.7597305389221557
401,2018-09-30,San Francisco Bay,0.4285714285714285,0.3308383233532934,0.6875,0.578125,0.5913173652694611
402,2019-03-31,San Francisco Bay,0.7083333333333334,0.8360778443113772,0.8333333333333334,0.7387959866220736,0.8675149700598802
403,2019-09-30,San Francisco Bay,0.5789473684210527,0.6227544910179641,0.7692307692307693,0.7916666666666666,0.936377245508982
404,2020-03-31,San Francisco Bay,0.2690669763840495,0.0688622754491018,0.5384615384615384,0.625,0.6729041916167665
405,2020-09-30,San Francisco Bay,0.25,0.0456586826347305,0.5,0.4615384615384615,0.3757485029940119
406,2021-03-31,San Francisco Bay,0.2264150943396226,0.028443113772455,0.2666666666666666,0.3181818181818182,0.1362275449101796
407,2021-09-30,San Francisco Bay,0.25,0.0456586826347305,0.5,0.2285714285714285,0.0464071856287425
408,2022-03-31,San Francisco Bay,0.5089481946624803,0.5194610778443114,0.5,0.25,0.0576347305389221
409,2022-09-30,San Francisco Bay,0.3333333333333333,0.1482035928143712,0.3333333333333333,0.3333333333333333,0.1609281437125748
410,2023-03-31,San Francisco Bay,0.8571428571428571,0.9857784431137724,1.0,0.6666666666666666,0.7597305389221557
411,2023-09-30,San Francisco Bay,0.9545454545454546,1.0,1.0,1.0,1.0
412,2024-03-31,San Francisco Bay,0.2,0.0187125748502994,0.3333333333333333,0.4516129032258064,0.3607784431137724
413,1990-03-31,San Joaquin River,,,0.7727272727272727,,
414,1990-09-30,San Joaquin River,,,0.6666666666666666,,
415,1991-03-31,San Joaquin River,0.25,0.0456586826347305,0.4736842105263157,0.5407620735489589,0.5164670658682635
416,1991-09-30,San Joaquin River,0.3428571428571428,0.1646706586826347,0.4444444444444444,0.3888888888888889,0.2455089820359281
417,1992-03-31,San Joaquin River,0.5219806763285024,0.5329341317365269,0.4285714285714285,0.4,0.2657185628742515
418,1992-09-30,San Joaquin River,0.3783783783783784,0.2215568862275449,0.3333333333333333,0.3214285714285714,0.1437125748502994
