X,Y,FID,Longitude,Latitude,Lake_Name,Peak_Stora,Elevation,Storage_Av,SymbolID
-114.569720981608,35.1960017290211,1,-114.5697323,35.1960056,Lake Mohave,1808400,646.95,1640061, 
-114.737723906044,36.0160859517399,2,-114.7377309,36.0160868,Lake Mead,29904000,1225.83,13717082, 
-111.484232559478,36.9374233871181,3,-111.4842427,36.937427,Lake Powell,25695200,3708.34,13573686, 
-107.610732986966,36.8026764290541,4,-107.610737,36.8026798,Navajo Reservoir,1731750,6087.25,1253561, 
-109.421601852458,40.9147742445847,5,-109.4216131,40.9147755,Flaming Gorge Reservoir,3913630,6043.8,3077311, 
-111.027151776612,40.1367406502116,6,-111.0271568,40.1367402,Strawberry Reservoir,1110170,7602.63,888856.2, 
