FID,SOURCE,Shape__Area,Shape__Length,State
1,Imperial Valley,5765246571.80078,698101.795786655,California
2,Coachella Valley,3757276452.43359,553492.816134283,California
3,Colorado River Service Aqueduct Area,21475184295.9375,850037.819138656,California
4,Central Utah Project and Strawberry Valley Project,2601300718.54688,316967.79826404,Utah
5,Little Snake River Water Project,1205940615.31641,128204.859381908,Wyoming
6,San Juan Chama Project,10361474806.9961,1192777.92340679,New Mexico
7,Colorado Front Range - South Platte River,16683330735.0664,1175692.40620819,Colorado 
8,Colorado Front Range - Arkansas River,9030980396.76172,1304101.34109951,Colorado
